Unnamed: 0,age,Gender,Department,employment status,Years of experience,Work environment,Do you often feel overwhelmed by your workload?,Is your workload generally manageable?,Do you frequently work beyond your scheduled hours?,Do you feel supported by your manager and team?,Are you satisfied with the resources and help available at work?,Do you often feel isolated when dealing with work challenges?,Do you frequently think about work in your personal time?,Do you feel you have a healthy work-life balance?,Does your work often interfere with personal or family time?,Do you regularly feel physically or emotionally exhausted?,"Do you experience symptoms like sleep issues, anxiety, or low mood?",Do you regularly engage in physical or leisure activities?,How do you feel?
234,under 20,male,Software development,full-time,6-10,remote,2,4,2,4,3,2,2,1,4,4,4,3,Mildly Stressed
235,21-30,female,IT Services,part-time,6-10,remote,4,3,5,1,4,2,5,5,1,3,2,4,Mildly Stressed
236,under 20,male,IT Services,part-time,11-15,hybrid,1,5,1,2,2,5,1,2,1,5,1,2,Healthy
237,41-50,male,Software development,contract,less than 1 year,remote,5,2,3,1,5,3,2,4,2,2,5,5,Mildly Stressed
238,51-60,female,IT Services,part-time,1-5,hybrid,5,1,4,5,4,4,2,5,5,3,3,1,Mildly Stressed
239,51-60,female,Other,part-time,less than 1 year,remote,1,1,5,5,5,2,2,3,1,5,2,2,Healthy
240,31-40,male,Cyber Security,full-time,16-20,Office-based,2,3,2,1,5,4,2,2,3,2,2,1,Mildly Stressed
241,under 20,female,Cyber Security,contract,1-5,hybrid,2,4,5,4,2,3,5,4,4,3,5,4,Mildly Stressed
242,under 20,male,Software development,full-time,less than 1 year,remote,3,2,2,4,2,1,4,4,5,3,2,5,Healthy
243,31-40,male,Hardware engineering,full-time,11-15,Office-based,4,5,4,2,5,2,2,4,5,1,5,1,Mildly Stressed
244,31-40,male,Software development,contract,11-15,Office-based,2,4,3,2,1,3,2,1,5,3,2,3,Highly Stressed
245,31-40,male,IT Services,contract,1-5,Office-based,3,3,1,3,5,4,1,1,1,4,1,1,Healthy
246,41-50,male,Hardware engineering,contract,16-20,hybrid,5,4,5,3,5,3,3,2,5,3,2,1,Highly Stressed
247,under 20,male,IT Services,part-time,11-15,hybrid,5,3,2,2,2,1,5,3,2,4,2,5,Mildly Stressed
248,41-50,female,Other,contract,11-15,remote,5,1,4,3,3,3,2,2,3,5,3,5,Highly Stressed
249,31-40,female,IT Services,contract,16-20,Office-based,1,1,1,1,4,4,4,3,4,5,1,2,Mildly Stressed
250,under 20,male,Other,contract,less than 1 year,remote,4,4,4,4,2,2,4,5,3,4,1,1,Mildly Stressed
251,41-50,male,Other,full-time,11-15,remote,3,2,3,3,1,2,4,4,2,1,1,1,Mildly Stressed
252,41-50,male,IT Services,full-time,6-10,Office-based,4,5,1,3,4,5,1,4,2,1,2,5,Healthy
253,31-40,female,IT Services,part-time,11-15,remote,1,3,1,1,2,4,4,1,3,5,4,3,Highly Stressed
254,under 20,male,Other,full-time,less than 1 year,hybrid,3,5,1,5,2,5,1,5,1,3,2,5,Healthy
255,31-40,female,Hardware engineering,part-time,less than 1 year,remote,3,1,2,2,3,5,5,5,2,5,5,3,Highly Stressed
256,under 20,male,Other,full-time,1-5,Office-based,2,2,1,1,1,1,4,3,5,5,3,5,Mildly Stressed
257,51-60,male,Cyber Security,contract,6-10,hybrid,4,2,4,5,1,4,3,5,4,4,1,4,Mildly Stressed
258,21-30,female,Other,full-time,less than 1 year,hybrid,4,5,2,1,2,2,2,1,4,1,5,1,Mildly Stressed
259,21-30,female,Hardware engineering,part-time,16-20,remote,2,1,1,4,3,4,5,3,2,4,5,3,Mildly Stressed
260,21-30,male,Cyber Security,full-time,6-10,remote,5,5,4,1,2,1,3,2,5,5,4,4,Highly Stressed
261,31-40,male,Software development,contract,6-10,hybrid,1,4,4,1,5,4,5,3,3,2,1,3,Mildly Stressed
262,51-60,male,Software development,part-time,16-20,remote,4,2,5,4,5,4,4,2,4,3,2,2,Highly Stressed
263,under 20,female,Hardware engineering,contract,11-15,Office-based,2,2,4,2,3,5,5,3,5,5,1,2,Burned out
264,41-50,female,Other,contract,16-20,remote,3,4,3,5,2,4,5,4,5,4,3,1,Highly Stressed
265,under 20,female,IT Services,part-time,16-20,remote,2,1,1,3,3,5,5,2,1,2,1,4,Mildly Stressed
266,41-50,female,Hardware engineering,contract,11-15,hybrid,5,2,1,2,2,5,1,1,2,2,5,4,Mildly Stressed
267,under 20,female,Cyber Security,contract,11-15,remote,1,3,1,1,2,3,3,2,5,5,5,2,Highly Stressed
268,51-60,female,Cyber Security,full-time,11-15,remote,5,3,4,3,5,1,4,2,3,1,2,1,Mildly Stressed
269,41-50,male,Software development,contract,11-15,remote,3,1,4,4,4,5,2,3,4,2,2,2,Mildly Stressed
270,31-40,male,Cyber Security,contract,11-15,Office-based,3,4,1,2,1,4,4,4,1,3,2,4,Healthy
271,under 20,female,Hardware engineering,contract,16-20,remote,3,5,2,5,1,5,4,3,3,4,3,3,Mildly Stressed
272,under 20,male,Cyber Security,contract,1-5,Office-based,3,1,2,2,3,5,1,3,4,4,1,4,Mildly Stressed
273,41-50,male,Hardware engineering,part-time,1-5,Office-based,2,5,3,2,1,5,1,4,2,4,4,1,Mildly Stressed
274,31-40,female,IT Services,full-time,less than 1 year,Office-based,3,1,5,3,5,2,5,3,3,5,1,4,Mildly Stressed
275,31-40,male,Software development,contract,1-5,Office-based,3,3,3,4,4,2,4,4,4,4,2,5,Healthy
276,51-60,female,Cyber Security,contract,1-5,hybrid,2,4,1,4,2,2,3,1,1,4,3,4,Healthy
277,31-40,female,Hardware engineering,part-time,16-20,Office-based,3,3,1,2,2,2,1,4,4,3,1,5,Healthy
278,31-40,male,Other,contract,11-15,remote,5,4,1,4,5,3,1,5,5,1,5,2,Healthy
279,31-40,female,Software development,part-time,11-15,Office-based,5,5,5,3,1,5,3,4,1,5,1,5,Mildly Stressed
280,21-30,female,IT Services,full-time,16-20,remote,4,1,4,3,2,3,1,4,3,5,5,4,Highly Stressed
281,51-60,female,Hardware engineering,full-time,1-5,Office-based,5,2,5,5,1,4,3,5,2,4,1,4,Mildly Stressed
282,under 20,female,IT Services,contract,16-20,hybrid,1,2,3,4,5,1,2,4,1,3,1,4,Healthy
283,41-50,female,IT Services,contract,less than 1 year,Office-based,1,4,4,5,2,3,3,2,1,2,1,1,Healthy
284,under 20,female,Cyber Security,contract,11-15,Office-based,1,4,4,1,3,2,2,3,1,4,2,2,Healthy
285,51-60,female,Cyber Security,part-time,6-10,hybrid,2,3,3,3,4,2,5,3,4,4,5,5,Mildly Stressed
286,41-50,female,Hardware engineering,contract,less than 1 year,Office-based,5,2,4,2,1,4,5,1,5,5,3,3,Burned Out
287,51-60,male,Other,contract,less than 1 year,remote,1,3,2,3,1,5,1,1,2,5,4,5,Mildly Stressed
288,31-40,male,Hardware engineering,full-time,16-20,Office-based,4,5,3,1,1,1,3,5,2,4,5,4,Mildly Stressed
289,41-50,male,Other,contract,1-5,Office-based,2,2,3,2,1,3,1,2,5,5,2,3,Highly Stressed
290,31-40,female,IT Services,full-time,11-15,Office-based,4,5,2,4,5,5,3,1,4,3,5,3,Mildly Stressed
291,under 20,female,Software development,contract,6-10,hybrid,5,1,5,4,5,5,1,3,4,2,3,5,Mildly Stressed
292,under 20,male,Hardware engineering,full-time,less than 1 year,Office-based,3,3,5,3,5,3,5,1,5,2,5,5,Highly Stressed
293,41-50,male,Hardware engineering,contract,6-10,Office-based,4,4,5,2,5,3,5,1,5,2,2,5,Mildly Stressed
294,41-50,male,Other,full-time,1-5,remote,3,2,4,2,2,3,1,4,3,4,2,5,Mildly Stressed
295,51-60,female,IT Services,part-time,1-5,Office-based,2,3,2,5,5,3,3,1,4,4,4,2,Mildly Stressed
296,51-60,male,IT Services,full-time,6-10,Office-based,4,4,3,1,2,2,4,5,1,4,3,1,Mildly Stressed
297,31-40,male,Other,full-time,11-15,Office-based,4,1,3,4,3,5,3,3,2,3,4,1,Highly Stressed
298,41-50,female,IT Services,full-time,1-5,Office-based,2,2,3,3,5,5,1,5,4,2,1,5,Healthy
299,under 20,male,Cyber Security,contract,6-10,remote,2,5,4,2,3,2,3,5,5,5,2,1,Mildly Stressed
300,51-60,female,Software development,contract,less than 1 year,remote,1,1,4,4,5,5,2,2,1,5,4,5,Mildly Stressed
301,51-60,female,Hardware engineering,contract,6-10,hybrid,5,4,5,3,3,3,3,4,3,1,2,5,Healthy
302,under 20,female,Software development,part-time,6-10,Office-based,4,2,4,4,4,1,5,5,3,1,2,5,Healthy
303,51-60,male,Hardware engineering,part-time,16-20,hybrid,4,2,5,3,3,5,5,2,1,5,1,2,Highly Stressed
304,31-40,male,Cyber Security,full-time,1-5,hybrid,2,1,5,4,2,1,2,3,1,2,2,4,Healthy
305,41-50,female,IT Services,part-time,11-15,Office-based,2,2,3,5,1,1,3,3,5,4,4,1,Highly Stressed
306,under 20,male,Other,full-time,11-15,remote,5,4,4,1,3,2,4,2,5,5,3,1,Burned Out
307,41-50,male,Cyber Security,full-time,16-20,remote,2,1,5,4,1,4,3,5,2,5,5,2,Highly Stressed
308,51-60,male,Software development,full-time,11-15,Office-based,3,5,2,1,4,5,5,5,2,1,4,2,Mildly Stressed
309,51-60,male,Other,part-time,6-10,Office-based,3,1,2,4,4,2,5,4,3,2,1,5,Healthy
310,under 20,female,IT Services,contract,16-20,remote,3,1,4,2,2,2,1,4,1,5,5,5,Mildly Stressed
311,31-40,male,Cyber Security,part-time,less than 1 year,Office-based,3,5,3,5,2,1,5,3,3,4,2,4,Healthy
312,21-30,female,Other,full-time,1-5,Office-based,5,4,3,5,3,5,1,4,5,4,4,1,Highly Stressed
313,under 20,female,Cyber Security,full-time,1-5,Office-based,4,3,5,1,5,2,5,2,4,3,5,2,Highly Stressed
314,21-30,male,Cyber Security,part-time,1-5,remote,3,3,4,2,4,3,5,3,5,4,4,4,Highly Stressed
315,21-30,female,IT Services,full-time,6-10,hybrid,2,5,2,3,1,2,4,5,4,5,2,1,Mildly Stressed
316,31-40,male,Hardware engineering,full-time,less than 1 year,hybrid,3,4,5,5,5,3,1,3,1,5,4,4,Healthy
317,21-30,male,Other,part-time,16-20,Office-based,5,2,5,2,4,4,1,1,1,4,1,4,Mildly Stressed
318,21-30,female,IT Services,part-time,16-20,remote,2,5,1,2,3,3,5,3,1,1,5,5,Healthy
319,31-40,female,Cyber Security,part-time,1-5,Office-based,3,3,4,1,4,3,1,4,2,2,5,4,Mildly Stressed
320,21-30,female,IT Services,full-time,less than 1 year,remote,4,4,5,2,2,1,5,2,2,5,5,5,Highly Stressed
321,21-30,female,Hardware engineering,full-time,less than 1 year,Office-based,2,1,2,2,1,2,5,5,4,4,4,1,Highly Stressed
322,21-30,male,Other,contract,less than 1 year,remote,2,4,1,3,1,4,3,5,3,4,2,1,Mildly Stressed
323,under 20,male,Hardware engineering,contract,11-15,remote,4,4,2,1,2,2,1,4,3,5,4,5,Mildly Stressed
324,under 20,male,Software development,part-time,11-15,hybrid,2,3,3,1,5,3,2,4,4,3,4,3,Mildly Stressed
325,under 20,female,Other,contract,1-5,Office-based,3,3,1,2,2,3,1,4,2,2,5,4,Healthy
326,31-40,female,Hardware engineering,full-time,less than 1 year,hybrid,2,2,1,3,1,2,1,1,5,5,2,1,Mildly Stressed
327,51-60,female,Cyber Security,contract,less than 1 year,hybrid,3,2,5,4,3,4,4,2,4,4,3,4,Highly Stressed
328,21-30,male,Other,full-time,16-20,remote,4,5,3,5,5,4,2,1,3,3,2,3,Healthy
329,21-30,female,Other,part-time,16-20,Office-based,1,1,5,1,4,1,2,4,4,5,4,4,Highly Stressed
330,31-40,male,IT Services,part-time,1-5,remote,4,2,4,3,3,3,4,2,4,2,1,3,Mildly Stressed
331,21-30,female,Cyber Security,full-time,less than 1 year,remote,3,3,2,3,5,3,4,4,1,3,2,2,Healthy
332,under 20,male,Software development,contract,1-5,remote,5,4,2,2,1,1,1,2,2,4,5,3,Highly Stressed
333,51-60,male,Hardware engineering,part-time,16-20,Office-based,4,5,5,5,1,2,3,5,1,1,1,1,Healthy
334,41-50,female,IT Services,part-time,16-20,Office-based,5,2,2,1,3,3,4,1,2,2,3,5,Mildly Stressed
335,21-30,female,Hardware engineering,contract,11-15,remote,5,4,2,4,5,2,2,4,4,3,3,5,Healthy
336,under 20,male,Software development,contract,1-5,Office-based,3,4,4,2,4,4,2,4,2,5,1,4,Healthy
337,41-50,male,Software development,full-time,1-5,remote,3,2,3,1,4,5,1,3,3,5,3,2,Highly Stressed
338,51-60,female,Other,contract,less than 1 year,Office-based,1,1,1,1,2,1,3,5,1,3,1,4,Healthy
339,41-50,female,Software development,contract,less than 1 year,Office-based,2,1,5,3,3,3,5,4,4,5,4,3,Highly Stressed
340,under 20,male,Hardware engineering,contract,11-15,hybrid,4,5,5,5,5,1,4,1,3,3,1,5,Healthy
341,41-50,female,Cyber Security,full-time,6-10,remote,3,1,4,4,3,4,4,5,2,2,4,3,Mildly Stressed
342,31-40,male,Cyber Security,full-time,6-10,hybrid,4,5,4,5,4,4,1,4,2,5,5,5,Healthy
343,41-50,male,Other,part-time,6-10,hybrid,5,3,1,3,5,4,3,1,3,2,5,5,Mildly Stressed
344,21-30,female,Hardware engineering,full-time,1-5,remote,2,2,3,4,1,4,2,3,2,4,3,5,Mildly Stressed
345,21-30,female,Hardware engineering,part-time,1-5,remote,1,4,5,4,1,5,2,3,1,4,1,1,Mildly Stressed
346,31-40,female,Software development,contract,16-20,Office-based,4,5,4,2,5,2,5,1,5,4,4,3,Highly Stressed
347,under 20,female,Hardware engineering,part-time,1-5,remote,2,1,5,4,3,2,2,5,2,4,5,4,Mildly Stressed
348,21-30,female,IT Services,part-time,1-5,hybrid,1,5,2,1,3,5,4,1,4,5,5,2,Highly Stressed
349,51-60,male,Software development,contract,1-5,hybrid,4,5,5,5,1,2,5,1,2,3,5,4,Highly Stressed
350,21-30,male,IT Services,part-time,11-15,remote,2,1,3,5,1,4,3,3,4,5,3,3,Mildly Stressed
351,21-30,female,Other,full-time,1-5,hybrid,3,1,3,2,4,2,5,3,2,5,5,2,Highly Stressed
352,under 20,female,Cyber Security,full-time,less than 1 year,Office-based,4,2,5,4,5,1,3,3,2,2,2,4,Healthy
353,41-50,female,Other,full-time,less than 1 year,hybrid,2,4,2,3,3,2,2,4,4,3,3,2,Healthy
354,21-30,male,Cyber Security,full-time,16-20,Office-based,1,2,3,1,4,1,1,4,1,1,1,3,Healthy
355,31-40,female,Other,part-time,11-15,hybrid,2,2,4,2,3,3,5,2,5,1,2,5,Mildly Stressed
356,41-50,female,Hardware engineering,part-time,less than 1 year,Office-based,3,1,5,4,1,1,5,4,5,3,3,3,Highly Stressed
357,51-60,male,IT Services,contract,11-15,Office-based,4,1,2,3,5,1,4,5,1,1,3,1,Healthy
358,under 20,male,Cyber Security,part-time,11-15,remote,4,4,4,4,2,4,4,5,2,3,4,2,Mildly Stressed
359,51-60,female,Software development,part-time,16-20,Office-based,4,5,5,2,5,4,3,3,5,2,2,3,Mildly Stressed
360,41-50,female,IT Services,part-time,11-15,remote,3,2,2,3,2,4,1,1,1,2,2,5,Healthy
361,41-50,female,Software development,contract,1-5,hybrid,1,4,4,3,4,1,4,3,1,5,2,5,Healthy
362,41-50,male,IT Services,full-time,11-15,hybrid,4,2,3,3,2,5,4,1,5,1,5,3,Highly Stressed
363,51-60,female,IT Services,part-time,16-20,hybrid,1,5,5,3,2,4,2,3,4,3,5,4,Mildly Stressed
364,41-50,female,Other,contract,16-20,Office-based,2,2,5,4,4,4,2,3,3,2,1,3,Mildly Stressed
365,51-60,female,Cyber Security,contract,16-20,hybrid,1,3,3,3,5,1,4,5,4,5,1,5,Healthy
366,41-50,male,Cyber Security,contract,less than 1 year,hybrid,1,4,1,4,4,3,3,1,2,1,1,3,Healthy
367,31-40,male,IT Services,full-time,1-5,remote,4,1,4,3,1,3,1,2,4,1,5,1,Highly Stressed
368,41-50,female,Hardware engineering,part-time,less than 1 year,remote,5,2,3,3,1,2,4,2,3,1,4,4,Highly Stressed
369,51-60,female,Hardware engineering,contract,6-10,hybrid,5,4,5,2,2,3,3,3,3,2,1,3,Mildly Stressed
370,21-30,male,Software development,full-time,1-5,hybrid,3,4,4,4,4,4,3,3,1,2,3,5,Healthy
371,41-50,male,Software development,contract,11-15,Office-based,3,2,4,4,4,5,4,5,2,1,5,3,Mildly Stressed
372,21-30,male,Other,contract,16-20,Office-based,5,1,1,5,4,2,3,1,1,2,4,3,Mildly Stressed
373,31-40,male,IT Services,contract,6-10,hybrid,2,1,5,2,5,5,5,3,4,1,3,2,Highly Stressed
374,under 20,male,Software development,contract,1-5,remote,4,2,2,4,3,5,3,2,4,4,3,3,Highly Stressed
375,31-40,male,Software development,contract,less than 1 year,hybrid,4,4,1,2,3,4,4,1,5,2,5,1,Highly Stressed
376,41-50,male,IT Services,full-time,16-20,Office-based,2,1,1,2,3,1,3,3,1,3,2,5,Healthy
377,21-30,male,Other,part-time,less than 1 year,remote,2,2,2,2,5,1,4,1,1,2,4,2,Mildly Stressed
378,21-30,male,Software development,part-time,1-5,remote,5,2,2,1,4,1,2,5,1,1,5,3,Healthy
379,51-60,female,Other,part-time,1-5,Office-based,3,2,1,4,3,3,4,2,1,3,2,4,Healthy
380,21-30,female,Cyber Security,part-time,6-10,hybrid,2,4,4,2,4,1,3,1,3,5,5,1,Highly Stressed
381,51-60,female,Other,full-time,11-15,hybrid,3,1,3,1,2,4,4,2,5,3,5,1,Burned Out
382,under 20,male,Hardware engineering,full-time,less than 1 year,hybrid,1,4,3,1,3,3,1,3,2,3,3,1,Mildly Stressed
383,41-50,female,Hardware engineering,full-time,6-10,Office-based,4,3,1,3,2,1,4,4,2,2,5,2,Mildly Stressed
384,51-60,male,Other,contract,16-20,remote,5,1,4,3,5,5,4,1,2,3,2,3,Highly Stressed
385,under 20,male,Hardware engineering,contract,11-15,Office-based,4,4,2,4,1,4,1,2,3,3,3,1,Mildly Stressed
386,21-30,female,Cyber Security,contract,6-10,hybrid,5,1,1,3,5,4,1,1,5,1,2,3,Mildly Stressed
387,21-30,male,IT Services,part-time,less than 1 year,Office-based,1,3,5,4,5,2,1,3,5,2,2,4,Healthy
388,under 20,female,Hardware engineering,contract,1-5,remote,4,5,4,1,5,4,5,3,3,1,3,3,Mildly Stressed
389,21-30,female,Hardware engineering,part-time,16-20,Office-based,1,2,5,1,3,5,4,2,1,2,2,3,Highly Stressed
390,under 20,female,Other,contract,less than 1 year,hybrid,5,4,5,4,2,4,1,5,4,5,1,3,Mildly Stressed
391,51-60,male,Cyber Security,part-time,11-15,remote,2,3,1,3,3,2,1,1,1,3,5,5,Healthy
392,51-60,female,IT Services,contract,11-15,Office-based,4,3,4,3,1,4,2,1,2,2,3,2,Highly Stressed
393,under 20,male,Other,contract,1-5,Office-based,1,1,5,4,5,4,5,3,1,3,3,3,Mildly Stressed
394,51-60,female,Other,full-time,1-5,remote,4,1,4,5,4,2,4,1,3,3,1,1,Highly Stressed
395,51-60,female,Cyber Security,contract,16-20,remote,4,2,3,3,1,4,3,2,2,4,1,5,Mildly Stressed
396,51-60,female,IT Services,contract,16-20,hybrid,4,1,5,2,2,3,5,4,4,1,1,3,Mildly Stressed
397,31-40,male,Cyber Security,full-time,1-5,remote,3,4,5,3,1,4,5,3,2,2,1,5,Mildly Stressed
398,41-50,male,IT Services,part-time,1-5,hybrid,1,4,4,5,3,1,2,4,1,5,4,2,Healthy
399,21-30,male,Cyber Security,full-time,11-15,Office-based,1,4,3,1,4,1,4,1,5,4,3,5,Mildly Stressed
400,31-40,female,Other,full-time,1-5,hybrid,4,5,5,1,3,3,4,5,5,1,2,1,Mildly Stressed
401,51-60,female,Other,part-time,6-10,Office-based,2,4,1,1,5,4,1,2,5,5,3,3,Mildly Stressed
402,under 20,male,Software development,contract,less than 1 year,remote,4,1,4,3,5,5,1,1,2,5,3,1,Highly Stressed
403,51-60,male,Hardware engineering,part-time,1-5,Office-based,3,1,4,1,1,4,5,2,5,3,3,4,Burned Out
404,41-50,male,Cyber Security,contract,16-20,remote,5,4,5,5,5,1,2,1,3,1,1,5,Healthy
405,51-60,male,Software development,contract,6-10,Office-based,3,3,3,5,5,2,4,1,4,4,1,5,Healthy
406,under 20,male,Hardware engineering,part-time,16-20,Office-based,2,3,5,3,2,3,2,1,5,2,4,5,Mildly Stressed
407,41-50,male,Cyber Security,full-time,6-10,Office-based,4,3,2,2,2,2,3,3,3,2,3,2,Mildly Stressed
408,51-60,female,IT Services,part-time,1-5,Office-based,1,2,5,3,3,5,4,4,3,4,5,1,Highly Stressed
409,41-50,male,Hardware engineering,contract,less than 1 year,hybrid,4,5,2,1,3,4,1,5,2,3,4,4,Healthy
410,21-30,female,Other,part-time,16-20,Office-based,2,4,1,3,2,5,5,4,2,3,1,2,Healthy
411,21-30,female,Software development,part-time,6-10,hybrid,1,2,4,5,1,2,2,4,4,5,3,2,Mildly Stressed
412,51-60,male,Hardware engineering,contract,11-15,remote,3,3,4,3,2,4,1,2,4,1,1,3,Mildly Stressed
413,41-50,male,Hardware engineering,full-time,1-5,remote,5,4,3,3,3,5,5,3,1,5,2,4,Mildly Stressed
414,under 20,female,Other,part-time,less than 1 year,hybrid,5,2,5,2,4,1,1,3,4,2,1,5,Healthy
415,51-60,male,Cyber Security,contract,1-5,remote,4,1,1,5,5,1,4,1,2,4,1,5,Healthy
416,21-30,male,IT Services,contract,11-15,remote,3,3,2,4,4,3,2,4,3,1,4,3,Healthy
417,21-30,female,Other,part-time,less than 1 year,Office-based,2,2,3,4,4,1,3,5,1,4,2,5,Healthy
418,51-60,female,IT Services,full-time,11-15,Office-based,5,1,1,5,5,1,1,2,4,1,5,1,Healthy
419,41-50,female,Cyber Security,part-time,1-5,Office-based,3,3,1,4,2,2,2,3,3,2,5,5,Healthy
420,21-30,male,Hardware engineering,full-time,6-10,hybrid,4,5,2,1,1,1,4,1,2,2,5,1,Highly Stressed
421,41-50,female,IT Services,full-time,1-5,hybrid,1,3,2,4,4,1,1,5,5,1,3,3,Healthy
422,21-30,male,Software development,full-time,1-5,remote,4,5,4,1,1,2,4,4,1,3,5,3,Highly Stressed
423,21-30,female,Software development,full-time,1-5,Office-based,4,5,5,5,3,1,3,5,3,1,3,1,Healthy
424,31-40,female,Other,part-time,16-20,hybrid,3,5,3,4,4,1,3,3,2,2,1,5,Healthy
425,21-30,female,Cyber Security,contract,11-15,hybrid,5,4,5,4,3,3,5,2,2,4,5,3,Highly Stressed
426,under 20,male,Other,contract,11-15,Office-based,3,4,3,1,2,1,5,4,1,5,4,3,Mildly Stressed
427,51-60,male,Other,contract,11-15,hybrid,1,5,1,1,4,1,5,2,1,4,2,1,Healthy
428,51-60,female,Other,contract,16-20,Office-based,3,1,2,3,3,3,4,5,4,2,2,3,Mildly Stressed
429,41-50,female,Software development,contract,6-10,remote,2,5,2,2,3,2,5,5,4,4,1,5,Healthy
430,21-30,female,Software development,contract,1-5,remote,4,2,1,4,2,1,2,1,1,3,2,3,Healthy
431,under 20,male,Other,part-time,6-10,remote,5,5,1,2,1,5,4,4,1,3,2,1,Highly Stressed
432,41-50,female,Software development,full-time,16-20,Office-based,1,4,3,2,1,2,4,5,3,1,1,5,Healthy
433,31-40,male,Cyber Security,contract,11-15,hybrid,4,4,1,4,4,2,5,3,4,4,1,4,Healthy
434,41-50,female,Other,part-time,1-5,remote,3,2,3,1,2,1,5,3,2,4,1,1,Mildly Stressed
435,41-50,female,Software development,contract,less than 1 year,remote,2,2,5,3,4,3,4,2,4,2,4,4,Mildly Stressed
436,21-30,female,IT Services,contract,less than 1 year,remote,3,3,2,5,1,2,3,3,4,1,1,3,Healthy
437,31-40,female,Other,full-time,6-10,hybrid,4,1,2,4,2,3,3,5,1,1,1,5,Healthy
438,41-50,female,Other,full-time,11-15,hybrid,1,1,2,4,5,5,5,3,1,4,1,3,Healthy
439,under 20,female,Cyber Security,full-time,less than 1 year,Office-based,5,1,5,5,2,3,3,4,4,5,5,5,Highly Stressed
440,under 20,male,Hardware engineering,contract,6-10,remote,4,4,5,2,2,4,2,2,5,4,5,2,Burned Out
441,51-60,female,Hardware engineering,contract,16-20,hybrid,1,1,4,3,5,3,2,4,5,4,4,3,Mildly Stressed
442,31-40,male,Cyber Security,contract,6-10,Office-based,4,3,3,2,3,2,2,5,4,4,4,3,Mildly Stressed
443,31-40,female,Cyber Security,full-time,6-10,remote,2,3,3,5,3,3,4,5,5,3,2,3,Healthy
444,51-60,female,Cyber Security,part-time,6-10,hybrid,3,1,4,5,3,3,4,3,4,1,5,1,Highly Stressed
445,41-50,male,Hardware engineering,contract,1-5,hybrid,5,2,2,3,1,4,4,1,1,3,4,5,Highly Stressed
446,31-40,female,Cyber Security,contract,6-10,Office-based,1,3,3,5,2,4,4,1,1,5,4,5,Mildly Stressed
447,under 20,male,Software development,contract,6-10,remote,5,2,3,5,5,1,4,5,1,2,2,5,Healthy
448,under 20,male,Other,part-time,1-5,remote,5,4,2,3,1,2,5,5,2,5,1,1,Mildly Stressed
449,21-30,female,Other,contract,1-5,hybrid,5,3,1,4,5,1,3,2,1,1,3,5,Healthy
450,31-40,male,IT Services,part-time,16-20,remote,1,2,1,2,1,4,5,5,1,2,2,3,Healthy
451,41-50,male,IT Services,contract,11-15,Office-based,1,1,4,4,1,3,3,5,4,5,3,4,Mildly Stressed
452,51-60,female,Other,part-time,less than 1 year,hybrid,5,4,5,4,1,4,5,2,5,1,2,2,Highly Stressed
453,51-60,male,Software development,contract,less than 1 year,hybrid,3,5,3,2,5,5,2,4,5,5,2,5,Mildly Stressed
454,41-50,female,Hardware engineering,full-time,6-10,Office-based,4,5,3,4,4,3,1,4,1,2,1,1,Healthy
455,21-30,female,Hardware engineering,full-time,16-20,hybrid,5,1,4,3,1,1,4,2,1,2,4,1,Highly Stressed
456,51-60,female,Software development,full-time,6-10,remote,2,4,4,2,3,3,1,2,1,5,5,5,Mildly Stressed
457,31-40,female,Hardware engineering,full-time,less than 1 year,remote,5,4,3,1,2,5,1,4,4,3,2,4,Mildly Stressed
458,21-30,male,Cyber Security,contract,1-5,hybrid,1,4,2,4,4,4,2,4,4,5,1,5,Healthy
459,31-40,female,Other,full-time,11-15,Office-based,4,4,2,5,4,2,1,4,4,5,3,1,Healthy
460,under 20,female,Other,part-time,16-20,Office-based,2,5,5,2,5,2,1,4,5,5,4,2,Mildly Stressed
461,21-30,male,Software development,full-time,1-5,remote,4,2,3,1,4,2,2,3,2,3,2,4,Healthy
